AnnexID,Date Order,City,County,Annexation Type,Ordinance Date,Effective Date,Report Date,Authorization Number,Authorization Type,Acreage,Comments,Attachments,OrdDate,EffDate,RepDate,AuthNumber,Acr,Com
1,1,Tyrone,Fayette,-,"11-20-1991	","-	","11-26-1991	","221	",Ordinance,"5	","-	",-,11/20/1991,-,11/26/1991,221,5,-
2,2,LaGrange,Troup,,"11-22-1991	","-	","11-26-1991	","-	",Ordinance,"151.6	","	",,11/22/1991,,11/26/1991,,151.6,
3,3,LaGrange,Troup,,"11-12-1991	","-	","11-26-1991	","-	",Ordinance,"18.821	","	",,11/12/1991,,11/26/1991,,18.821,
4,4,LaGrange,Troup,,"11-12-1991	","-	","11-26-1991	","-	",Ordinance,"171.005	","	",,11/12/1991,,11/26/1991,,171.005,
5,5,Baxley,Appling,,"11-12-1991	","-	","11-19-1991	","91-011	",Ordinance,"1.012	","	",,11/12/1991,,11/19/1991,91-011,1.012,
6,6,Forest Park,Clayton,,"11-19-1991	","-	","12-05-1991	","91-018	",Ordinance,"3.486	","Falcon Drive Kings Motor Inn	",,11/19/1991,,12/5/1991,91-018,3.486,Falcon Drive Kings Motor Inn
7,7,Kingsland,Camden,Annex,"11-25-1991	","-	","12-12-1991	","1991-9	",Ordinance,"5	","Mormon Church	",,11/25/1991,,12/12/1991,1991-9,5,Mormon Church
8,8,Kingsland,Camden,,"11-25-1991	","-	","12-12-1991	","1991-9	",Ordinance,"0.12	","This is a sewer easement for the Church of Jesus Christ of ì Latter Day Saints.	",,11/25/1991,,12/12/1991,1991-9,0.12,This is a sewer easement for the Church of Jesus Christ of ì Latter Day Saints.
9,9,Forest Park,Camden,Annex,"11-25-1991	","-	","12-12-1991	","-	",Ordinance,"75	","Site for new High School.	",,11/25/1991,,12/12/1991,,75,Site for new High School.
10,10,Shady Dale,Jasper,Annex,"01-14-1988	","-	","12-09-1991	","-	",Ordinance,"120	","Visscher Tract	",,1/14/1988,,12/9/1991,,120,Visscher Tract
11,11,Cartersville,Bartow,,"11-14-1991	","-	","11-22-1991	","42-91	",Ordinance,"0.501	","43 Benham Circle Strickland Hgts. Sub	",,11/14/1991,,11/22/1991,42-91,0.501,43 Benham Circle Strickland Hgts. Sub
12,12,Smyrna,Cobb,,"11-04-1991	","-	","11-18-1991	","-	",Ordinance,"33	","911 Wells Circle	",,11/4/1991,,11/18/1991,,33,911 Wells Circle
13,13,Tyrone,Fayette,,"11-11-1991	","-	","11-18-1991	","220	",Ordinance,"-	","	",,11/11/1991,,11/18/1991,220,,
14,14,Chickamauga,Walker,,"09-03-1991	","-	","11-22-1991	","-	",Ordinance,"1.19	","	",,9/3/1991,,11/22/1991,,1.19,
15,15,Chickamauga,Walker,,"09-03-1991	","-	","11-22-1991	","-	",Ordinance,"16.3	","	",,9/3/1991,,11/22/1991,,16.3,
